"","Sample.y","Sample.x","Chr","Start","End","LOD.score","Length..bp.","Length..Mbp.","Site.x","Subspecies.x","Site.y","Subspecies.y","Km_distance","Generations.ago..assuming.1cM.1Mb.","Years..assuming.25y.generation.","LOD2","years"
"55","Gco2-8","Baf1-19","chr21",40279531,41040330,"3,96",760799,"0,76","Bafing","Western","Sangaredi","Western","444,31","65,72","1643,01",1643.01,1643.01
"56","Gep2-53","Baf1-19","chr21",39899701,40276377,"3,21",376676,"0,38","Bafing","Western","Comoe","Western","866,39","132,74","3318,50",3318.5,3318.5
"57","Kay1-13","Baf1-19","chr21",30831822,31705414,"4,02",873592,"0,87","Bafing","Western","Kayan","Western","196,95","57,23","1430,87",1430.87,1430.87
"58","Kay1-15","Baf1-19","chr21",28817981,30265369,"3,56",1447388,"1,45","Bafing","Western","Kayan","Western","196,95","34,54","863,62",863.62,863.62
"59","Kay1-15","Baf1-19","chr21",45190937,47037886,"3,6",1846949,"1,85","Bafing","Western","Kayan","Western","196,95","27,07","676,79",676.79,676.79
"60","Kay1-15","Baf1-19","chr21",17014005,17735696,"3,77",721691,"0,72","Bafing","Western","Kayan","Western","196,95","69,28","1732,04",1732.04,1732.04
"61","Kay1-23","Baf1-19","chr21",22550116,24409362,"3,43",1859246,"1,86","Bafing","Western","Kayan","Western","196,95","26,89","672,32",672.32,672.32
"62","Kay1-23","Baf1-19","chr21",39725740,40287585,"3,59",561845,"0,56","Bafing","Western","Kayan","Western","196,95","88,99","2224,81",2224.81,2224.81
"63","Kay2-25","Baf1-19","chr21",25895248,30708522,"13,79",4813274,"4,81","Bafing","Western","Kayan","Western","196,95","10,39","259,70",259.7,259.7
"64","Kay2-25","Baf1-19","chr21",37939988,38599484,"3,87",659496,"0,66","Bafing","Western","Kayan","Western","196,95","75,82","1895,39",1895.39,1895.39
"65","Kay2-25","Baf1-19","chr21",19417329,20309975,"3,24",892646,"0,89","Bafing","Western","Kayan","Western","196,95","56,01","1400,33",1400.33,1400.33
"66","Kay2-29","Baf1-19","chr21",35818058,36720528,"3,48",902470,"0,90","Bafing","Western","Kayan","Western","196,95","55,40","1385,09",1385.09,1385.09
"67","Kay2-41","Baf1-19","chr21",34525711,41040330,"25,37",6514619,"6,51","Bafing","Western","Kayan","Western","196,95","7,68","191,88",191.88,191.88
"68","Kay2-41","Baf1-19","chr21",44484293,48093812,"8,9",3609519,"3,61","Bafing","Western","Kayan","Western","196,95","13,85","346,31",346.31,346.31
"69","Kay2-49","Baf1-19","chr21",28110931,29263234,"4,15",1152303,"1,15","Bafing","Western","Kayan","Western","196,95","43,39","1084,78",1084.78,1084.78
"70","Kay2-54","Baf1-19","chr21",41605364,43414475,"3,29",1809111,"1,81","Bafing","Western","Kayan","Western","196,95","27,64","690,95",690.95,690.95
"71","Kay2-54","Baf1-19","chr21",39101181,39620906,"3,82",519725,"0,52","Bafing","Western","Kayan","Western","196,95","96,20","2405,12",2405.12,2405.12
"72","Kay2-54","Baf1-19","chr21",26354118,28390895,"4,9",2036777,"2,04","Bafing","Western","Kayan","Western","196,95","24,55","613,71",613.71,613.71
"73","Lib2-10","Baf1-19","chr21",23156447,24473963,"3,32",1317516,"1,32","Bafing","Western","Sapo","Western","867,78","37,95","948,76",948.76,948.76
"74","Lib2-28","Baf1-19","chr21",32315272,33219574,"4,69",904302,"0,90","Bafing","Western","Sapo","Western","867,78","55,29","1382,28",1382.28,1382.28
"75","Sob1-31","Baf1-19","chr21",42617775,44584135,"5,83",1966360,"1,97","Bafing","Western","Bakoun-Sobory","Western","155,15","25,43","635,69",635.69,635.69
"76","Con2-48","Bat1-48","chr21",40605636,40915767,"3,49",310131,"0,31","Bateke","Central","Conkouati","Central","374,34","161,22","4030,55",4030.55,4030.55
"77","Con2-48","Bat1-48","chr21",26508340,26827224,"3,26",318884,"0,32","Bateke","Central","Conkouati","Central","374,34","156,80","3919,92",3919.92,3919.92
"78","Con2-48","Bat1-48","chr21",42638712,42874306,"3,55",235594,"0,24","Bateke","Central","Conkouati","Central","374,34","212,23","5305,74",5305.74,5305.74
"79","Con2-49","Bat1-48","chr21",38668301,39011010,"3,37",342709,"0,34","Bateke","Central","Conkouati","Central","374,34","145,90","3647,41",3647.41,3647.41
"80","Con2-49","Bat1-48","chr21",30330281,30979431,"6,24",649150,"0,65","Bateke","Central","Conkouati","Central","374,34","77,02","1925,60",1925.6,1925.6
"81","Con2-49","Bat1-48","chr21",41703724,41934402,"3",230678,"0,23","Bateke","Central","Conkouati","Central","374,34","216,75","5418,81",5418.81,5418.81
"82","Con2-49","Bat1-48","chr21",31890171,32120515,"3,12",230344,"0,23","Bateke","Central","Conkouati","Central","374,34","217,07","5426,67",5426.67,5426.67
"83","Con2-56","Bat1-48","chr21",29974966,30837519,"5,58",862553,"0,86","Bateke","Central","Conkouati","Central","374,34","57,97","1449,19",1449.19,1449.19
"84","GB-25-05","Bat1-48","chr21",38286618,39015940,"3,63",729322,"0,73","Bateke","Central","Loango","Central","504,39","68,56","1713,92",1713.92,1713.92
"85","Gou1-27","Bat1-48","chr21",15222749,15301949,"3,18",79200,"0,08","Bateke","Central","Goualougo","Central","552,99","631,31","15782,83",15782.83,15782.83
"86","Lop2-80","Bat1-48","chr21",44548844,45194507,"3,05",645663,"0,65","Bateke","Central","Lope","Central","339,88","77,44","1935,99",1935.99,1935.99
"87","Lop2-80","Bat1-48","chr21",15220355,15588609,"6,09",368254,"0,37","Bateke","Central","Lope","Central","339,88","135,78","3394,40",3394.4,3394.4
"88","Lop3-20","Bat1-48","chr21",22373221,22823263,"3,38",450042,"0,45","Bateke","Central","Lope","Central","339,88","111,10","2777,52",2777.52,2777.52
"89","Mtc1-58","Bat1-48","chr21",15225491,15271340,"4,3",45849,"0,05","Bateke","Central","MtCristal","Central","491,89","1090,54","27263,41",27263.41,27263.41
"90","Chinko-14","Bil1-3","chr21",30118001,33562203,"7,24",3444202,"3,44","Bili-Uele","Eastern","Chinko","Eastern","224,85","14,52","362,93",362.93,362.93
"91","Chinko-14","Bil1-3","chr21",28526500,29088251,"3,16",561751,"0,56","Bili-Uele","Eastern","Chinko","Eastern","224,85","89,01","2225,19",2225.19,2225.19
"92","Bud1-2","Bil1-47","chr21",15223926,15271340,"3,28",47414,"0,05","Bili-Uele","Eastern","Budongo","Eastern","794,73","1054,54","26363,52",26363.52,26363.52
"93","Bud1-7","Bil1-47","chr21",15244583,15525642,"3,5",281059,"0,28","Bili-Uele","Eastern","Budongo","Eastern","794,73","177,90","4447,46",4447.46,4447.46
"94","Bud3-13","Bil1-47","chr21",33818840,34196805,"3,07",377965,"0,38","Bili-Uele","Eastern","Budongo","Eastern","794,73","132,29","3307,18",3307.18,3307.18
"95","Chinko-12","Bil1-47","chr21",15225585,15385896,"3,26",160311,"0,16","Bili-Uele","Eastern","Chinko","Eastern","224,85","311,89","7797,34",7797.34,7797.34
"96","Chinko-12","Bil1-47","chr21",27981833,30744232,"12,16",2762399,"2,76","Bili-Uele","Eastern","Chinko","Eastern","224,85","18,10","452,51",452.51,452.51
"97","Chinko-14","Bil1-47","chr21",15248365,15495622,"3,1",247257,"0,25","Bili-Uele","Eastern","Chinko","Eastern","224,85","202,22","5055,47",5055.47,5055.47
"98","Chinko-14","Bil1-47","chr21",27971814,30654550,"13",2682736,"2,68","Bili-Uele","Eastern","Chinko","Eastern","224,85","18,64","465,94",465.94,465.94
"99","Chinko-14","Bil1-47","chr21",40944769,41299657,"3,14",354888,"0,35","Bili-Uele","Eastern","Chinko","Eastern","224,85","140,89","3522,24",3522.24,3522.24
"100","Chinko-14","Bil1-47","chr21",18853747,19602189,"3,17",748442,"0,75","Bili-Uele","Eastern","Chinko","Eastern","224,85","66,81","1670,14",1670.14,1670.14
"101","Gas1-17","Bil1-47","chr21",32538806,32826466,"4,1",287660,"0,29","Bili-Uele","Eastern","Gashaka","Nigeria-Cameroon","1505,94","173,82","4345,41",4345.41,4345.41
"102","MTC2-5","Bil1-47","chr21",14946861,15331994,"3,99",385133,"0,39","Bili-Uele","Eastern","MtCristal","Central","1668,64","129,83","3245,63",3245.63,3245.63
"103","N260-6","Bil1-47","chr21",41576964,41708474,"3,1",131510,"0,13","Bili-Uele","Eastern","Ngogo","Eastern","748,86","380,20","9504,98",9504.98,9504.98
"104","NNP1-57","Bil1-47","chr21",23969218,24687021,"4,7",717803,"0,72","Bili-Uele","Eastern","Nyungwe","Eastern","883,78","69,66","1741,42",1741.42,1741.42
"105","Uga1-17","Bil1-47","chr21",38746530,39135502,"3,04",388972,"0,39","Bili-Uele","Eastern","Issa-Ugalla","Eastern","1246,90","128,54","3213,60",3213.6,3213.6
"106","Boe1-32","Boe1-30","chr21",46130678,48082905,"7,53",1952227,"1,95","Boe","Western","Boe","Western","0,00","25,61","640,29",640.29,640.29
"107","Boe1-43","Boe1-30","chr21",40343682,41805657,"3,2",1461975,"1,46","Boe","Western","Boe","Western","0,00","34,20","855,01",855.01,855.01
"108","Boe2-10","Boe1-30","chr21",34139016,38635053,"3,51",4496037,"4,50","Boe","Western","Boe","Western","0,00","11,12","278,02",278.02,278.02
"109","Boe2-11","Boe1-30","chr21",46305395,48088248,"3,2",1782853,"1,78","Boe","Western","Boe","Western","0,00","28,04","701,12",701.12,701.12
"110","Boe2-30","Boe1-30","chr21",46101312,48045406,"6,43",1944094,"1,94","Boe","Western","Boe","Western","0,00","25,72","642,97",642.97,642.97
"111","Din1-6","Boe1-30","chr21",45340400,47334779,"6,09",1994379,"1,99","Boe","Western","Dindefelo","Western","190,40","25,07","626,76",626.76,626.76
"112","Fouta1-10","Boe1-30","chr21",32637049,33891600,"3,98",1254551,"1,25","Boe","Western","Bakoun-Sobory","Western","312,99","39,85","996,37",996.37,996.37
"113","Fouta2-8","Boe1-30","chr21",46789258,47330572,"3,57",541314,"0,54","Boe","Western","Bakoun-Sobory","Western","312,99","92,37","2309,20",2309.2,2309.2
"114","Gco2-8","Boe1-30","chr21",46683358,47352896,"3,42",669538,"0,67","Boe","Western","Sangaredi","Western","89,15","74,68","1866,96",1866.96,1866.96
"115","Kay1-23","Boe1-30","chr21",44489374,45230361,"3,71",740987,"0,74","Boe","Western","Kayan","Western","247,49","67,48","1686,94",1686.94,1686.94
"116","Kay2-25","Boe1-30","chr21",40141757,40942221,"3,31",800464,"0,80","Boe","Western","Kayan","Western","247,49","62,46","1561,59",1561.59,1561.59
"117","Kay2-29","Boe1-30","chr21",38946742,40975290,"3,09",2028548,"2,03","Boe","Western","Kayan","Western","247,49","24,65","616,20",616.2,616.2
"118","Baf1-19","Boe1-32","chr21",37732935,38430244,"3,12",697309,"0,70","Boe","Western","Bafing","Western","414,35","71,70","1792,61",1792.61,1792.61
"119","Baf1-19","Boe1-32","chr21",40276378,40786647,"5,11",510269,"0,51","Boe","Western","Bafing","Western","414,35","97,99","2449,69",2449.69,2449.69
"120","Baf1-19","Boe1-32","chr21",30768130,31716013,"6,34",947883,"0,95","Boe","Western","Bafing","Western","414,35","52,75","1318,73",1318.73,1318.73
"121","Baf1-19","Boe1-32","chr21",32697022,35720857,"6,79",3023835,"3,02","Boe","Western","Bafing","Western","414,35","16,54","413,38",413.38,413.38
"122","Boe1-30","Boe1-32","chr21",46130678,48082905,"7,53",1952227,"1,95","Boe","Western","Boe","Western","0,00","25,61","640,29",640.29,640.29
"123","Boe1-43","Boe1-32","chr21",20606900,22059886,"6,61",1452986,"1,45","Boe","Western","Boe","Western","0,00","34,41","860,30",860.3,860.3
"124","Boe1-43","Boe1-32","chr21",18919288,19727372,"3,39",808084,"0,81","Boe","Western","Boe","Western","0,00","61,87","1546,87",1546.87,1546.87
"125","Boe1-43","Boe1-32","chr21",45230562,45657415,"3,68",426853,"0,43","Boe","Western","Boe","Western","0,00","117,14","2928,41",2928.41,2928.41
"126","Boe1-44","Boe1-32","chr21",24915966,28491310,"15,28",3575344,"3,58","Boe","Western","Boe","Western","0,00","13,98","349,62",349.62,349.62
"127","Boe1-57","Boe1-32","chr21",19016259,19736279,"3,45",720020,"0,72","Boe","Western","Boe","Western","0,00","69,44","1736,06",1736.06,1736.06
"128","Boe1-57","Boe1-32","chr21",28526500,29178716,"4,57",652216,"0,65","Boe","Western","Boe","Western","0,00","76,66","1916,54",1916.54,1916.54
"129","Boe1-57","Boe1-32","chr21",35528074,38041931,"13,96",2513857,"2,51","Boe","Western","Boe","Western","0,00","19,89","497,24",497.24,497.24
"130","Boe1-57","Boe1-32","chr21",23322047,23992990,"3,16",670943,"0,67","Boe","Western","Boe","Western","0,00","74,52","1863,05",1863.05,1863.05
"131","Boe1-57","Boe1-32","chr21",33478735,34414374,"7,48",935639,"0,94","Boe","Western","Boe","Western","0,00","53,44","1335,99",1335.99,1335.99
"132","Boe1-57","Boe1-32","chr21",42367034,42556003,"3,08",188969,"0,19","Boe","Western","Boe","Western","0,00","264,59","6614,84",6614.84,6614.84
"133","Boe1-57","Boe1-32","chr21",39985624,41385785,"8,51",1400161,"1,40","Boe","Western","Boe","Western","0,00","35,71","892,75",892.75,892.75
"134","Boe1-71","Boe1-32","chr21",19737521,21460183,"9,15",1722662,"1,72","Boe","Western","Boe","Western","0,00","29,02","725,62",725.62,725.62
"135","Boe1-71","Boe1-32","chr21",26204949,27339898,"4,24",1134949,"1,13","Boe","Western","Boe","Western","0,00","44,05","1101,37",1101.37,1101.37
"136","Boe1-71","Boe1-32","chr21",42486886,42920463,"3,24",433577,"0,43","Boe","Western","Boe","Western","0,00","115,32","2882,99",2882.99,2882.99
"137","Boe2-11","Boe1-32","chr21",28740721,29178538,"4,75",437817,"0,44","Boe","Western","Boe","Western","0,00","114,20","2855,07",2855.07,2855.07
"138","Boe2-11","Boe1-32","chr21",33702461,34091595,"3,64",389134,"0,39","Boe","Western","Boe","Western","0,00","128,49","3212,26",3212.26,3212.26
"139","Boe2-11","Boe1-32","chr21",15226672,15644902,"3,21",418230,"0,42","Boe","Western","Boe","Western","0,00","119,55","2988,79",2988.79,2988.79
"140","Boe2-11","Boe1-32","chr21",19044046,19736279,"3,71",692233,"0,69","Boe","Western","Boe","Western","0,00","72,23","1805,75",1805.75,1805.75
"141","Boe2-11","Boe1-32","chr21",35528074,36283801,"4,53",755727,"0,76","Boe","Western","Boe","Western","0,00","66,16","1654,04",1654.04,1654.04
"142","Boe2-11","Boe1-32","chr21",43608397,45520092,"11,75",1911695,"1,91","Boe","Western","Boe","Western","0,00","26,15","653,87",653.87,653.87
"143","Boe2-11","Boe1-32","chr21",17753715,18699306,"7,15",945591,"0,95","Boe","Western","Boe","Western","0,00","52,88","1321,92",1321.92,1321.92
"144","Boe2-18","Boe1-32","chr21",28381597,29178538,"5,93",796941,"0,80","Boe","Western","Boe","Western","0,00","62,74","1568,50",1568.5,1568.5
"145","Boe2-18","Boe1-32","chr21",22085837,22652400,"3,26",566563,"0,57","Boe","Western","Boe","Western","0,00","88,25","2206,29",2206.29,2206.29
"146","Boe2-18","Boe1-32","chr21",41190092,41385785,"3,93",195693,"0,20","Boe","Western","Boe","Western","0,00","255,50","6387,56",6387.56,6387.56
"147","Boe2-18","Boe1-32","chr21",47052329,47468795,"3,7",416466,"0,42","Boe","Western","Boe","Western","0,00","120,06","3001,45",3001.45,3001.45
"148","Boe2-18","Boe1-32","chr21",24159731,25597060,"3,92",1437329,"1,44","Boe","Western","Boe","Western","0,00","34,79","869,67",869.67,869.67
"149","Boe2-22","Boe1-32","chr21",29736119,31245406,"9,77",1509287,"1,51","Boe","Western","Boe","Western","0,00","33,13","828,21",828.21,828.21
"150","Boe2-22","Boe1-32","chr21",41038141,41576964,"7,18",538823,"0,54","Boe","Western","Boe","Western","0,00","92,79","2319,87",2319.87,2319.87
"151","Boe2-30","Boe1-32","chr21",46353568,47799095,"11,69",1445527,"1,45","Boe","Western","Boe","Western","0,00","34,59","864,74",864.74,864.74
"152","Boe2-30","Boe1-32","chr21",36975570,37306485,"5,52",330915,"0,33","Boe","Western","Boe","Western","0,00","151,10","3777,41",3777.41,3777.41
"153","Boe2-30","Boe1-32","chr21",42344741,42561377,"3,49",216636,"0,22","Boe","Western","Boe","Western","0,00","230,80","5770,05",5770.05,5770.05
"154","Boe2-30","Boe1-32","chr21",20568263,27937793,"47,03",7369530,"7,37","Boe","Western","Boe","Western","0,00","6,78","169,62",169.62,169.62
"155","Boe2-30","Boe1-32","chr21",14939784,16246613,"9,5",1306829,"1,31","Boe","Western","Boe","Western","0,00","38,26","956,51",956.51,956.51
"156","Boe2-39","Boe1-32","chr21",45291462,45958717,"3,27",667255,"0,67","Boe","Western","Boe","Western","0,00","74,93","1873,35",1873.35,1873.35
"157","Boe2-39","Boe1-32","chr21",34264503,34648816,"3,6",384313,"0,38","Boe","Western","Boe","Western","0,00","130,10","3252,56",3252.56,3252.56
"158","Boe2-39","Boe1-32","chr21",42442945,42920463,"3,65",477518,"0,48","Boe","Western","Boe","Western","0,00","104,71","2617,70",2617.7,2617.7
"159","CNPN1-20","Boe1-32","chr21",43741701,44520422,"3,25",778721,"0,78","Boe","Western","Comoe","Western","1157,00","64,21","1605,20",1605.2,1605.2
"160","Din1-26","Boe1-32","chr21",15240228,15488443,"4,96",248215,"0,25","Boe","Western","Dindefelo","Western","190,40","201,44","5035,96",5035.96,5035.96
"161","Din1-26","Boe1-32","chr21",38149366,38309436,"3,77",160070,"0,16","Boe","Western","Dindefelo","Western","190,40","312,36","7809,08",7809.08,7809.08
"162","Din1-53","Boe1-32","chr21",28737866,32906191,"24,26",4168325,"4,17","Boe","Western","Dindefelo","Western","190,40","12,00","299,88",299.88,299.88
"163","Din1-53","Boe1-32","chr21",19917010,21024066,"3,58",1107056,"1,11","Boe","Western","Dindefelo","Western","190,40","45,16","1129,12",1129.12,1129.12
"164","Din1-6","Boe1-32","chr21",46353568,47334779,"7,08",981211,"0,98","Boe","Western","Dindefelo","Western","190,40","50,96","1273,94",1273.94,1273.94
"165","Din1-6","Boe1-32","chr21",39327471,40089080,"3,31",761609,"0,76","Boe","Western","Dindefelo","Western","190,40","65,65","1641,26",1641.26,1641.26
"166","Din1-6","Boe1-32","chr21",41039221,41546111,"5,96",506890,"0,51","Boe","Western","Dindefelo","Western","190,40","98,64","2466,02",2466.02,2466.02
"167","Din1-7","Boe1-32","chr21",46315970,47352526,"3,65",1036556,"1,04","Boe","Western","Dindefelo","Western","190,40","48,24","1205,92",1205.92,1205.92
"168","Djo1-13","Boe1-32","chr21",30988636,31897206,"4,02",908570,"0,91","Boe","Western","Djouroutou","Western","1038,83","55,03","1375,79",1375.79,1375.79
